portalTime,longitude,latitude
"2016-12-18 04:24:31",-122.449893,48.78418
"2016-12-18 04:24:36",-122.449898,48.78417
"2016-12-18 04:24:41",-122.449902,48.784164
"2016-12-18 04:24:46",-122.449902,48.784159
"2016-12-18 04:24:50",-122.449908,48.784155
"2016-12-18 04:24:54",-122.449913,48.784154
"2016-12-18 04:24:59",-122.449915,48.784153
"2016-12-18 04:25:04",-122.449917,48.784151
"2016-12-18 04:25:09",-122.449918,48.784153
"2016-12-18 04:25:14",-122.449922,48.784152
"2016-12-18 04:25:18",-122.449928,48.784154
"2016-12-18 04:25:23",-122.449931,48.784154
"2016-12-18 04:25:28",-122.449932,48.784156
"2016-12-18 04:25:33",-122.449932,48.784157
"2016-12-18 04:25:37",-122.449935,48.784156
"2016-12-18 04:25:41",-122.449939,48.784154
"2016-12-18 04:25:45",-122.449944,48.784154
"2016-12-18 04:25:50",-122.449944,48.784153
"2016-12-18 04:25:55",-122.449946,48.784153
"2016-12-18 04:26:02",-122.449945,48.784153
"2016-12-18 04:26:07",-122.449945,48.784153
"2016-12-18 04:26:12",-122.449943,48.784153
"2016-12-18 04:26:16",-122.449939,48.784153
"2016-12-18 04:26:21",-122.44994,48.784153
"2016-12-18 04:26:26",-122.449943,48.784153
"2016-12-18 04:26:30",-122.449945,48.784153
"2016-12-18 04:26:34",-122.449946,48.784153
"2016-12-18 04:26:38",-122.449945,48.784153
"2016-12-18 04:26:43",-122.449946,48.784153
"2016-12-18 04:26:47",-122.449945,48.784149
"2016-12-18 04:26:52",-122.449946,48.78415
"2016-12-18 04:26:56",-122.449947,48.784159
"2016-12-18 04:27:01",-122.449948,48.784164
"2016-12-18 04:27:06",-122.44995,48.784168
"2016-12-18 04:27:10",-122.44995,48.784172
"2016-12-18 04:27:15",-122.449951,48.784173
"2016-12-18 04:27:19",-122.44995,48.784165
"2016-12-18 04:27:23",-122.449949,48.78416
"2016-12-18 04:27:28",-122.449948,48.784158
"2016-12-18 04:27:32",-122.449948,48.784159
"2016-12-18 04:27:37",-122.449949,48.784165
"2016-12-18 04:27:41",-122.44995,48.784175
"2016-12-18 04:27:45",-122.44995,48.78417
"2016-12-18 04:27:50",-122.44995,48.784173
"2016-12-18 04:27:54",-122.449951,48.784181
"2016-12-18 04:27:58",-122.449952,48.784189
"2016-12-18 04:28:03",-122.449952,48.784193
"2016-12-18 04:28:07",-122.449951,48.784191
"2016-12-18 04:28:11",-122.449953,48.784204
"2016-12-18 04:28:16",-122.449958,48.784234
"2016-12-18 04:28:20",-122.44996,48.784246
"2016-12-18 04:28:24",-122.44996,48.784249
"2016-12-18 04:28:29",-122.449962,48.784261
"2016-12-18 04:28:34",-122.449962,48.784264
"2016-12-18 04:28:38",-122.449962,48.784262
"2016-12-18 04:28:43",-122.449962,48.784261
"2016-12-18 04:28:47",-122.449962,48.78426
"2016-12-18 04:28:51",-122.449962,48.784259
"2016-12-18 04:28:55",-122.449962,48.784256
"2016-12-18 04:29:01",-122.449961,48.784254
"2016-12-18 04:29:06",-122.449961,48.784252
"2016-12-18 04:29:10",-122.449961,48.784251
"2016-12-18 04:29:15",-122.449961,48.784251
"2016-12-18 04:29:19",-122.449961,48.78425
"2016-12-18 04:29:24",-122.449961,48.784253
"2016-12-18 04:29:28",-122.449962,48.784258
"2016-12-18 04:29:32",-122.449963,48.784263
"2016-12-18 04:29:37",-122.449963,48.784265
"2016-12-18 04:29:42",-122.449963,48.784267
"2016-12-18 04:29:46",-122.449963,48.784267
"2016-12-18 04:29:50",-122.449963,48.784267
"2016-12-18 04:29:55",-122.449962,48.784263
"2016-12-18 04:30:01",-122.449963,48.784267
"2016-12-18 04:30:06",-122.449963,48.784268
"2016-12-18 04:30:11",-122.449963,48.784271
"2016-12-18 04:30:15",-122.449964,48.784272
"2016-12-18 04:30:19",-122.449964,48.784273
"2016-12-18 04:30:23",-122.449964,48.784273
"2016-12-18 04:30:28",-122.449965,48.784274
"2016-12-18 04:30:32",-122.449966,48.784277
"2016-12-18 04:30:36",-122.449966,48.784277
"2016-12-18 04:30:40",-122.449966,48.784279
"2016-12-18 04:30:44",-122.449966,48.784284
"2016-12-18 04:30:49",-122.449967,48.784288
"2016-12-18 04:30:53",-122.449967,48.784286
"2016-12-18 04:30:57",-122.449968,48.78429
"2016-12-18 04:31:02",-122.449967,48.784285
"2016-12-18 04:31:07",-122.449965,48.784273
"2016-12-18 04:31:12",-122.449964,48.78427
"2016-12-18 04:31:16",-122.449962,48.784259
"2016-12-18 04:31:21",-122.449963,48.784262
"2016-12-18 04:31:25",-122.449965,48.784274
"2016-12-18 04:31:30",-122.449967,48.784284
"2016-12-18 04:31:34",-122.449969,48.784291
"2016-12-18 04:31:39",-122.44997,48.784291
"2016-12-18 04:31:44",-122.449972,48.784295
"2016-12-18 04:31:48",-122.449973,48.784294
"2016-12-18 04:31:53",-122.449972,48.784294
"2016-12-18 04:32:01",-122.449973,48.784295
"2016-12-18 04:32:07",-122.449972,48.784293
"2016-12-18 04:32:12",-122.44997,48.78429
"2016-12-18 04:32:16",-122.449969,48.784289
"2016-12-18 04:32:21",-122.44997,48.784289
"2016-12-18 04:32:25",-122.449972,48.784289
"2016-12-18 04:32:30",-122.449973,48.78429
"2016-12-18 04:32:35",-122.449974,48.78429
"2016-12-18 04:32:54",-122.449974,48.784291
"2016-12-18 04:33:04",-122.449974,48.784291
"2016-12-18 04:33:08",-122.449974,48.784291
"2016-12-18 04:33:13",-122.449973,48.78429
"2016-12-18 04:33:17",-122.449973,48.784288
"2016-12-18 04:33:23",-122.449972,48.784288
"2016-12-18 04:33:27",-122.449973,48.784289
