portalTime,longitude,latitude
"2017-02-10 01:45:33",-122.449978,48.784028
"2017-02-10 01:45:38",-122.449978,48.784028
"2017-02-10 01:45:42",-122.449979,48.784031
"2017-02-10 01:45:46",-122.449977,48.784034
"2017-02-10 01:45:51",-122.449978,48.784035
"2017-02-10 01:45:56",-122.449979,48.784036
"2017-02-10 01:46:02",-122.449977,48.784032
"2017-02-10 01:46:06",-122.449977,48.784027
"2017-02-10 01:46:12",-122.449977,48.784025
"2017-02-10 01:46:17",-122.449979,48.784025
"2017-02-10 01:46:21",-122.449981,48.784025
"2017-02-10 01:46:27",-122.449982,48.784021
"2017-02-10 01:46:33",-122.44998,48.784019
"2017-02-10 01:46:37",-122.449978,48.784018
"2017-02-10 01:46:43",-122.449978,48.784016
"2017-02-10 01:46:48",-122.449979,48.784015
"2017-02-10 01:46:53",-122.449978,48.784017
"2017-02-10 01:46:58",-122.449978,48.784017
"2017-02-10 01:47:04",-122.449979,48.784017
"2017-02-10 01:47:09",-122.449977,48.784018
"2017-02-10 01:47:14",-122.449977,48.784018
"2017-02-10 01:47:19",-122.449975,48.784019
"2017-02-10 01:47:25",-122.449974,48.78402
"2017-02-10 01:47:31",-122.449974,48.784021
"2017-02-10 01:47:35",-122.449973,48.784022
"2017-02-10 01:47:41",-122.449973,48.784023
"2017-02-10 01:47:46",-122.449972,48.784024
"2017-02-10 01:47:50",-122.449974,48.784023
"2017-02-10 01:47:54",-122.449974,48.784023
"2017-02-10 01:48:01",-122.449974,48.784024
"2017-02-10 01:48:05",-122.449973,48.784024
"2017-02-10 01:48:13",-122.449973,48.784024
"2017-02-10 01:48:21",-122.449972,48.784024
"2017-02-10 01:48:25",-122.449973,48.784025
"2017-02-10 01:48:31",-122.449972,48.784027
"2017-02-10 01:48:42",-122.449971,48.784028
"2017-02-10 01:48:47",-122.44997,48.784029
"2017-02-10 01:48:57",-122.449971,48.784028
"2017-02-10 01:49:41",-122.44997,48.784029
"2017-02-10 01:49:46",-122.44997,48.784029
"2017-02-10 01:49:50",-122.449971,48.784028
"2017-02-10 01:49:56",-122.449971,48.784028
"2017-02-10 01:50:00",-122.449972,48.784028
"2017-02-10 01:50:06",-122.449972,48.784028
"2017-02-10 01:50:10",-122.449971,48.784027
"2017-02-10 01:50:15",-122.449971,48.784029
"2017-02-10 01:50:20",-122.44997,48.784031
"2017-02-10 01:50:26",-122.44997,48.784031
"2017-02-10 01:50:31",-122.44997,48.78403
"2017-02-10 01:50:35",-122.44997,48.784029
"2017-02-10 01:50:40",-122.44997,48.784029
"2017-02-10 01:50:45",-122.449969,48.784028
"2017-02-10 01:50:50",-122.449969,48.784028
"2017-02-10 01:50:55",-122.449969,48.784028
"2017-02-10 01:51:01",-122.449969,48.784027
"2017-02-10 01:51:06",-122.449969,48.784027
"2017-02-10 01:51:10",-122.44997,48.784029
"2017-02-10 01:51:20",-122.449969,48.784027
"2017-02-10 01:51:24",-122.449968,48.784027
"2017-02-10 01:51:30",-122.449969,48.784027
"2017-02-10 01:51:38",-122.449968,48.784028
"2017-02-10 01:52:24",-122.449968,48.784027
"2017-02-10 01:52:32",-122.449969,48.784027
"2017-02-10 01:52:37",-122.449969,48.784027
"2017-02-10 01:52:43",-122.449968,48.784027
"2017-02-10 01:52:49",-122.449968,48.784027
"2017-02-10 01:52:54",-122.449969,48.784027
"2017-02-10 01:52:58",-122.449969,48.784027
"2017-02-10 01:53:04",-122.449968,48.784027
"2017-02-10 01:53:10",-122.449968,48.784027
"2017-02-10 01:53:14",-122.449967,48.784027
"2017-02-10 01:53:20",-122.449968,48.784027
"2017-02-10 01:53:25",-122.449968,48.784027
"2017-02-10 01:53:31",-122.449969,48.784027
"2017-02-10 01:53:37",-122.44997,48.784027
"2017-02-10 01:53:44",-122.449969,48.784027
"2017-02-10 01:53:50",-122.44997,48.784026
"2017-02-10 01:53:56",-122.449972,48.784026
"2017-02-10 01:54:42",-122.449971,48.784026
"2017-02-10 01:54:47",-122.449971,48.784026
"2017-02-10 01:54:52",-122.449972,48.784026
"2017-02-10 01:54:57",-122.449972,48.784027
"2017-02-10 01:55:06",-122.449972,48.784027
"2017-02-10 01:55:14",-122.449972,48.784027
"2017-02-10 01:55:20",-122.449972,48.784027
"2017-02-10 01:55:24",-122.449972,48.784027
"2017-02-10 01:55:29",-122.449971,48.784025
"2017-02-10 01:55:34",-122.449971,48.784024
"2017-02-10 01:55:38",-122.44997,48.784022
"2017-02-10 01:55:42",-122.449969,48.784021
"2017-02-10 01:55:46",-122.449969,48.784019
"2017-02-10 01:55:51",-122.449969,48.78402
"2017-02-10 01:55:56",-122.449969,48.78402
"2017-02-10 01:56:03",-122.449968,48.78402
"2017-02-10 01:56:08",-122.449967,48.784019
"2017-02-10 01:56:13",-122.449968,48.78402
"2017-02-10 01:56:17",-122.449968,48.784021
"2017-02-10 01:56:21",-122.449968,48.784022
"2017-02-10 01:57:32",-122.44997,48.784022
"2017-02-10 01:57:36",-122.44997,48.784022
"2017-02-10 01:57:40",-122.44997,48.784022
"2017-02-10 01:57:46",-122.449971,48.784021
"2017-02-10 01:57:51",-122.449972,48.784021
"2017-02-10 01:57:57",-122.449973,48.78402
"2017-02-10 01:58:02",-122.449973,48.784019
"2017-02-10 01:58:11",-122.449974,48.784019
"2017-02-10 01:58:20",-122.449975,48.784019
"2017-02-10 01:58:25",-122.449975,48.784018
"2017-02-10 01:58:31",-122.449976,48.784018
"2017-02-10 01:58:36",-122.449976,48.784018
"2017-02-10 01:58:40",-122.449977,48.784017
"2017-02-10 01:58:45",-122.449977,48.784017
"2017-02-10 01:58:50",-122.449978,48.784015
"2017-02-10 01:58:55",-122.44998,48.784014
"2017-02-10 01:58:59",-122.44998,48.784013
"2017-02-10 01:59:05",-122.44998,48.784013
"2017-02-10 01:59:09",-122.449981,48.784012
"2017-02-10 01:59:15",-122.449981,48.784012
"2017-02-10 01:59:20",-122.449981,48.784011
"2017-02-10 01:59:25",-122.449981,48.784008
"2017-02-10 01:59:30",-122.449981,48.784009
"2017-02-10 01:59:35",-122.44998,48.784009
"2017-02-10 01:59:39",-122.449982,48.784005
"2017-02-10 01:59:44",-122.449982,48.784003
"2017-02-10 01:59:49",-122.449982,48.784002
"2017-02-10 01:59:53",-122.449982,48.784001
"2017-02-10 01:59:58",-122.449984,48.784
"2017-02-10 02:00:04",-122.449984,48.784
"2017-02-10 02:00:08",-122.449985,48.784
"2017-02-10 02:00:21",-122.449987,48.783998
"2017-02-10 02:00:29",-122.449988,48.783998
"2017-02-10 02:00:35",-122.449989,48.783997
"2017-02-10 02:00:40",-122.44999,48.783997
"2017-02-10 02:00:49",-122.44999,48.784
"2017-02-10 02:00:56",-122.44999,48.784003
