vdsTime,longitude,latitude
"2016-06-26 20:27:02",-122.356049,48.755049
"2016-06-26 20:27:06",-122.356045,48.755185
"2016-06-26 20:27:10",-122.355981,48.755125
"2016-06-26 20:27:15",-122.355965,48.755107
"2016-06-26 20:27:20",-122.356005,48.755112
"2016-06-26 20:27:25",-122.356042,48.755118
"2016-06-26 20:27:29",-122.356052,48.755119
"2016-06-26 20:27:34",-122.356053,48.755118
"2016-06-26 20:27:38",-122.356054,48.755118
"2016-06-26 20:27:42",-122.356056,48.755118
"2016-06-26 20:27:46",-122.356057,48.755118
"2016-06-26 20:27:51",-122.356059,48.755117
"2016-06-26 20:27:55",-122.35606,48.755117
"2016-06-26 20:27:59",-122.356062,48.755117
"2016-06-26 20:28:04",-122.35607,48.755112
"2016-06-26 20:28:09",-122.356075,48.755109
"2016-06-26 20:28:14",-122.356056,48.755093
"2016-06-26 20:28:18",-122.355968,48.755084
"2016-06-26 20:28:23",-122.355733,48.755103
"2016-06-26 20:28:28",-122.355604,48.755118
"2016-06-26 20:28:33",-122.355574,48.755125
"2016-06-26 20:28:37",-122.355513,48.755185
"2016-06-26 20:28:42",-122.355406,48.75538
"2016-06-26 20:28:47",-122.35542,48.755672
"2016-06-26 20:28:51",-122.355423,48.75601
"2016-06-26 20:28:55",-122.355411,48.756269
"2016-06-26 20:28:59",-122.35534,48.756394
"2016-06-26 20:29:03",-122.355293,48.756413
"2016-06-26 20:29:08",-122.35525,48.756423
"2016-06-26 20:29:12",-122.355225,48.756481
"2016-06-26 20:29:17",-122.355303,48.756665
"2016-06-26 20:29:21",-122.355387,48.756922
"2016-06-26 20:29:26",-122.355629,48.757306
"2016-06-26 20:29:31",-122.356087,48.757678
"2016-06-26 20:29:36",-122.356731,48.757953
"2016-06-26 20:29:41",-122.357493,48.758093
"2016-06-26 20:29:46",-122.358302,48.758174
"2016-06-26 20:29:51",-122.359146,48.758271
"2016-06-26 20:29:55",-122.359795,48.758462
"2016-06-26 20:30:00",-122.360482,48.758843
"2016-06-26 20:30:05",-122.361052,48.759234
"2016-06-26 20:30:10",-122.361573,48.75971
"2016-06-26 20:30:15",-122.362151,48.760212
"2016-06-26 20:30:19",-122.362776,48.760582
"2016-06-26 20:30:24",-122.363744,48.760857
"2016-06-26 20:30:29",-122.364745,48.760866
"2016-06-26 20:30:33",-122.365475,48.760695
"2016-06-26 20:30:37",-122.366119,48.760412
"2016-06-26 20:30:42",-122.366737,48.759903
"2016-06-26 20:30:46",-122.367053,48.759436
"2016-06-26 20:30:51",-122.367492,48.75888
"2016-06-26 20:30:56",-122.368176,48.75853
"2016-06-26 20:31:01",-122.369164,48.758455
"2016-06-26 20:31:06",-122.37016,48.758364
"2016-06-26 20:31:11",-122.370651,48.757931
"2016-06-26 20:31:16",-122.370718,48.757401
"2016-06-26 20:31:21",-122.370822,48.756795
"2016-06-26 20:31:26",-122.370959,48.756161
"2016-06-26 20:31:30",-122.370897,48.755657
"2016-06-26 20:31:35",-122.370882,48.754913
"2016-06-26 20:31:39",-122.370947,48.754255
"2016-06-26 20:31:44",-122.371115,48.753386
"2016-06-26 20:31:49",-122.371315,48.752607
"2016-06-26 20:31:54",-122.371923,48.751936
"2016-06-26 20:31:59",-122.372906,48.751481
"2016-06-26 20:32:03",-122.373773,48.751317
"2016-06-26 20:32:07",-122.374641,48.751303
"2016-06-26 20:32:11",-122.375525,48.751321
"2016-06-26 20:32:16",-122.3766,48.751349
"2016-06-26 20:32:20",-122.377418,48.751255
"2016-06-26 20:32:25",-122.378435,48.751007
"2016-06-26 20:32:30",-122.379484,48.75075
"2016-06-26 20:32:34",-122.380378,48.750576
"2016-06-26 20:32:39",-122.381532,48.750546
"2016-06-26 20:32:43",-122.382333,48.750734
"2016-06-26 20:32:48",-122.383184,48.751182
"2016-06-26 20:32:52",-122.38396,48.751542
"2016-06-26 20:32:57",-122.385006,48.751999
"2016-06-26 20:33:02",-122.385987,48.752482
"2016-06-26 20:33:06",-122.386753,48.752787
"2016-06-26 20:33:10",-122.387542,48.753013
"2016-06-26 20:33:15",-122.388639,48.753145
"2016-06-26 20:33:20",-122.389754,48.753319
"2016-06-26 20:33:24",-122.390666,48.753439
"2016-06-26 20:33:28",-122.391547,48.753622
"2016-06-26 20:33:33",-122.39263,48.753912
"2016-06-26 20:33:37",-122.393526,48.754194
"2016-06-26 20:33:42",-122.39455,48.754657
"2016-06-26 20:33:46",-122.395284,48.755015
"2016-06-26 20:33:50",-122.395991,48.755395
"2016-06-26 20:33:55",-122.396893,48.75595
"2016-06-26 20:33:59",-122.397551,48.756447
"2016-06-26 20:34:04",-122.398248,48.75707
"2016-06-26 20:34:08",-122.39871,48.757559
"2016-06-26 20:34:12",-122.39913,48.758078
"2016-06-26 20:34:16",-122.399494,48.758623
"2016-06-26 20:34:21",-122.399924,48.75935
"2016-06-26 20:34:26",-122.400369,48.760088
"2016-06-26 20:34:30",-122.400734,48.760686
"2016-06-26 20:34:34",-122.401098,48.761239
"2016-06-26 20:34:38",-122.401435,48.761774
"2016-06-26 20:34:42",-122.401749,48.762299
"2016-06-26 20:34:47",-122.402153,48.762948
"2016-06-26 20:34:51",-122.40241,48.763504
"2016-06-26 20:34:55",-122.402594,48.764101
"2016-06-26 20:35:00",-122.402828,48.764868
"2016-06-26 20:35:05",-122.403051,48.765569
"2016-06-26 20:35:10",-122.403266,48.766222
"2016-06-26 20:35:15",-122.403463,48.766863
"2016-06-26 20:35:20",-122.403659,48.767502
"2016-06-26 20:35:24",-122.403925,48.76791
"2016-06-26 20:35:29",-122.404451,48.768298
"2016-06-26 20:35:34",-122.405179,48.768451
"2016-06-26 20:35:38",-122.405891,48.768436
"2016-06-26 20:35:43",-122.406795,48.76843
"2016-06-26 20:35:48",-122.407474,48.768708
"2016-06-26 20:35:52",-122.407858,48.769018
"2016-06-26 20:35:57",-122.408509,48.769193
"2016-06-26 20:36:01",-122.409092,48.769163
"2016-06-26 20:36:06",-122.409734,48.769164
"2016-06-26 20:36:11",-122.409932,48.769154
"2016-06-26 20:36:16",-122.410359,48.769152
